P1	OPEN	WIRING	BUG-026AB2E7	praxis_graph_projection fails on empty decision_ref row		blocks_v1	Foundation reliability and authority health	
P1	OPEN	WIRING	BUG-BD989209	/orient standing_orders projection fails with missing scope_clamp column		blocks_v1	Foundation reliability and authority health	
P1	OPEN	WIRING	BUG-70706DC9	Sandbox auth seeding hardcodes provider credential homes outside credential CQRS	C_credential_mechanical_capability			
P3	OPEN	VERIFY	BUG-C3800386	Dashboard quick reference contains static provider circuit and model values	F_picker_helper_leaks			
P1	OPEN	ARCHITECTURE	BUG-023252F7	Docker and sandbox setup install and mount provider CLIs outside catalog authority	C_credential_mechanical_capability			
P1	OPEN	WIRING	BUG-ADAEB359	Permission matrix hardcodes provider allowlists outside provider catalog	F_picker_helper_leaks	blocks_v1	Agent registry and routing control plane	
P1	FIX_PENDING_VERIFICATION	ARCHITECTURE	BUG-1B959922	Runtime profiles hardcode provider env vars and model allowlists outside effective catalog	A_provider_catalog_authority	candidate_fixed_pending_evidence	Agent registry and routing control plane	
P1	FIX_PENDING_VERIFICATION	ARCHITECTURE	BUG-D4CC68A9	provider_transport built-in defaults remain executable fallback authority	A_provider_catalog_authority	candidate_fixed_pending_evidence	Agent registry and routing control plane	
P2	OPEN	WIRING	BUG-80CF188A	Compiler route catalog bypasses effective provider job catalog	E_compiler_rollover_spec_integration	blocks_v1	Agent registry and routing control plane	
P2	OPEN	WIRING	BUG-C7B9D6F2	Provider cost and budget posture is not exposed through effective catalog CQRS	D_cost_and_catalog_operations	blocks_v1	Agent registry and routing control plane	
P2	OPEN	WIRING	BUG-DF343C7D	Credential availability is not projected into provider capability CQRS	C_credential_mechanical_capability	blocks_v1	Agent registry and routing control plane	
P1	OPEN	RUNTIME	BUG-5DFF1C68	Provider transport admission filter fail-opens when admissions table is missing	B_fail_closed_breakers	blocks_v1	Agent registry and routing control plane	
P1	OPEN	RUNTIME	BUG-2D9A6DED	Manual circuit breaker override query failure erases force-open decisions	B_fail_closed_breakers	blocks_v1	Agent registry and routing control plane	
P1	OPEN	RUNTIME	BUG-724759AE	Circuit breaker authority unavailable skips provider preflight	B_fail_closed_breakers	blocks_v1	Agent registry and routing control plane	
P1	FIX_PENDING_VERIFICATION	WIRING	BUG-EBE27625	CQRS provider capability matrix is missing for effective provider job catalog	A_provider_catalog_authority	candidate_fixed_pending_evidence	Agent registry and routing control plane	
P1	FIX_PENDING_VERIFICATION	WIRING	BUG-5444AA3C	Route explanation CQRS is missing for provider/model removal reasons	A_provider_catalog_authority	candidate_fixed_pending_evidence	Agent registry and routing control plane	
P1	OPEN	ARCHITECTURE	BUG-FD42FE1D	compile/submission path calls api_llm despite operator decision + registry binding cli_llm — MCP timeouts on multi-packet submissions when api_llm transport unwired		blocks_v1	Adapter consolidation into the A2A-native kernel	
P2	FIX_PENDING_VERIFICATION	RUNTIME	BUG-2907B68C	Worker background-consumer loop dies with NameError: _evaluate_ready_specs not defined				
P2	OPEN	WIRING	BUG-17601F93	praxis workflow query "is the workflow runtime healthy" returns overall=healthy while worker force-fails every run		blocks_v1	Foundation reliability and authority health	
P1	OPEN	RUNTIME	BUG-0C0C55B1	Worker force-fails every admitted run with workflow.execution_crash; effective workflow-runtime outage		blocks_v1	Foundation reliability and authority health	
P2	FIX_PENDING_VERIFICATION	ARCHITECTURE	BUG-D2ED53B4	WorkflowMigrationError on praxis-api-server boot		blocks_v1	Foundation reliability and authority health	
P2	FIX_PENDING_VERIFICATION	WIRING	BUG-1879A498	bin/praxis-compose-env dump-keychain silently skips TOGETHER_API_KEY				
P1	OPEN	RUNTIME	BUG-F65A9A98	Together API decoder corruption in V4-Pro responses				
P2	OPEN	OTHER	BUG-3330D2CD	Compiler build_graph renders template stubs instead of semantic-retrieval capability nodes				
P2	OPEN	OTHER	BUG-B7A075E2	persona_profiles is empty — Moon compose path has no response_contract / system_prompt to teach the LLM the build shape				
P2	OPEN	OTHER	BUG-D4D0A348	task_type_router resolves no llm_task adapters for any auto/X key — compile_prose silently falls through to deterministic path				
P2	OPEN	TEST	BUG-52408D6E	Linter rollback can revert command-bus bypass cleanup				
P1	OPEN	ARCHITECTURE	BUG-25829630	[architecture] Build per-sandbox per-provider credential authority to replace launch-context credential forwarding				credential-authority,sandbox-provisioning,anthropic,docker,post-beta-blocker,architecture-sprint
P1	OPEN	WIRING	BUG-C0E107A6	Execution transport authority is split across resolver, worker loop, core executor, and CLI runner		blocks_v1	Adapter consolidation into the A2A-native kernel	cluster:execution-transport-split,authority-overlap,remote-lane
P2	OPEN	WIRING	BUG-25EF566B	Add setup apply as mutating state authority command path				
P1	OPEN	WIRING	BUG-B0BCB286	Wire execution transport authority through runtime adapters		blocks_v1	Adapter consolidation into the A2A-native kernel	
P2	OPEN	WIRING	BUG-2529D366	Wire api_models table into runtime model resolution authority		blocks_v1	A2A DB and CQRS kernel	
P2	OPEN	WIRING	BUG-010C811D	Wire setup wizard apply mode to catalog-backed mutating authority				
P2	OPEN	WIRING	BUG-22C9EC03	workflow CLI runner has transport implementation dead-end		blocks_v1	Adapter consolidation into the A2A-native kernel	
P1	OPEN	WIRING	BUG-D3C6352B	execution transport authority never reaches remote lanes		blocks_v1	Adapter consolidation into the A2A-native kernel	
P1	OPEN	WIRING	BUG-1E77345E	Wire oversight telemetry tables (policy_drift_events/session_blast_radius) into lifecycle runtime				
P2	OPEN	WIRING	BUG-1D781196	Use ui_shell_route_registry as authoritative source for app shell routing				
P2	OPEN	WIRING	BUG-9229A265	Wire workflow_spec_ready staging lifecycle into runtime service		blocks_v1	Durable work programs over A2A tasks	
P2	OPEN	WIRING	BUG-1350534F	Setup apply flow should execute through mutating state authority				
P2	OPEN	WIRING	BUG-1DEEBF2D	Implement provider onboarding capacity probing for all protocol families		blocks_v1	Agent registry and routing control plane	
P2	OPEN	WIRING	BUG-FEC8E8E3	Add time-window support to workflow status surface				
P2	OPEN	WIRING	BUG-AEEC855B	Hardcoded repo paths bypass workspace layout registry				
P1	OPEN	WIRING	BUG-5DD67C2A	Moon generated nodes leave data dictionary, bindings, imports, and DB object contracts empty				
P1	OPEN	WIRING	BUG-2729F8B7	Moon generated workflow has no release gates or typed gate contracts				
P2	OPEN	WIRING	BUG-65964DC8	Regression: capability route conflict still degrades API startup for service lifecycle desired-state				
